Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 17:30:32,2019-01-18 17:30:43,10.926s,FAILED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 17:30:32,2019-01-18 17:30:36,3.603s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:30:33,2019-01-18 17:30:34,0.276s,FAILED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 17:30:36,2019-01-18 17:30:38,2.316s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:30:36,2019-01-18 17:30:36,0.017s,FAILED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 17:30:38,2019-01-18 17:30:40,2.241s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:30:38,2019-01-18 17:30:38,0.016s,FAILED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 17:30:40,2019-01-18 17:30:43,2.276s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:30:41,2019-01-18 17:30:41,0.016s,FAILED
