Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-09 13:23:41,2019-01-09 13:24:05,24.492s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-09 13:23:42,2019-01-09 13:23:52,10.930s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 13:23:43,2019-01-09 13:23:50,7.457s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-09 13:23:52,2019-01-09 13:23:58,5.330s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 13:23:53,2019-01-09 13:23:56,2.904s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-09 13:23:58,2019-01-09 13:24:01,3.696s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 13:23:58,2019-01-09 13:23:59,1.320s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-09 13:24:01,2019-01-09 13:24:05,3.682s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 13:24:02,2019-01-09 13:24:03,1.236s,PASSED
