Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-24 14:30:16,2019-01-24 14:30:35,18.748s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-24 14:30:17,2019-01-24 14:30:25,8.579s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-24 14:30:17,2019-01-24 14:30:23,5.990s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-24 14:30:25,2019-01-24 14:30:29,3.698s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-24 14:30:25,2019-01-24 14:30:27,1.512s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-24 14:30:29,2019-01-24 14:30:32,3.303s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-24 14:30:29,2019-01-24 14:30:30,1.074s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-24 14:30:32,2019-01-24 14:30:35,2.855s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-24 14:30:32,2019-01-24 14:30:33,0.699s,PASSED
