Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-22 16:30:09,2019-01-22 16:30:30,20.967s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-22 16:30:10,2019-01-22 16:30:19,9.782s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:30:10,2019-01-22 16:30:17,6.873s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-22 16:30:19,2019-01-22 16:30:23,3.697s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:30:20,2019-01-22 16:30:21,1.423s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-22 16:30:23,2019-01-22 16:30:27,3.739s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:30:23,2019-01-22 16:30:25,1.517s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-22 16:30:27,2019-01-22 16:30:30,3.343s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:30:27,2019-01-22 16:30:28,1.094s,PASSED
