Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-20 01:03:02,2019-01-20 01:03:54,52.053s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-20 01:03:03,2019-01-20 01:03:33,30.336s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-20 01:03:06,2019-01-20 01:03:31,25.545s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-20 01:03:33,2019-01-20 01:03:46,12.776s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-20 01:03:34,2019-01-20 01:03:44,10.336s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-20 01:03:46,2019-01-20 01:03:51,4.316s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-20 01:03:47,2019-01-20 01:03:49,1.797s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-20 01:03:51,2019-01-20 01:03:54,3.647s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-20 01:03:51,2019-01-20 01:03:52,1.396s,PASSED
