Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-19 01:03:00,2019-01-19 01:03:25,25.443s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-19 01:03:01,2019-01-19 01:03:13,12.647s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-19 01:03:02,2019-01-19 01:03:11,8.892s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-19 01:03:13,2019-01-19 01:03:18,4.754s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-19 01:03:14,2019-01-19 01:03:16,2.416s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-19 01:03:18,2019-01-19 01:03:22,3.464s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-19 01:03:18,2019-01-19 01:03:20,1.179s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-19 01:03:22,2019-01-19 01:03:25,3.620s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-19 01:03:22,2019-01-19 01:03:23,1.380s,PASSED
