Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-23 14:30:15,2019-01-23 14:30:32,17.144s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-23 14:30:15,2019-01-23 14:30:22,7.135s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-23 14:30:16,2019-01-23 14:30:20,4.681s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-23 14:30:22,2019-01-23 14:30:26,3.361s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-23 14:30:22,2019-01-23 14:30:24,1.241s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-23 14:30:26,2019-01-23 14:30:29,3.697s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-23 14:30:26,2019-01-23 14:30:27,1.537s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-23 14:30:29,2019-01-23 14:30:32,2.728s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-23 14:30:29,2019-01-23 14:30:30,0.568s,PASSED
