Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 17:54:12,2019-01-18 17:54:53,40.077s,FAILED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 17:54:13,2019-01-18 17:54:22,8.836s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:54:14,2019-01-18 17:54:20,5.737s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 17:54:22,2019-01-18 17:54:26,4.086s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:54:22,2019-01-18 17:54:24,1.915s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 17:54:26,2019-01-18 17:54:29,3.381s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:54:26,2019-01-18 17:54:27,1.212s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 17:54:29,2019-01-18 17:54:53,23.256s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:54:29,2019-01-18 17:54:51,21.056s,FAILED
