Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-22 12:17:32,2019-01-22 12:17:53,21.573s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-22 12:17:32,2019-01-22 12:17:42,9.969s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:17:34,2019-01-22 12:17:40,6.388s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-22 12:17:42,2019-01-22 12:17:46,4.164s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:17:42,2019-01-22 12:17:44,1.877s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-22 12:17:46,2019-01-22 12:17:50,3.639s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:17:47,2019-01-22 12:17:48,1.339s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-22 12:17:50,2019-01-22 12:17:53,3.238s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:17:50,2019-01-22 12:17:51,0.930s,PASSED
