Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 20:36:46,2019-01-18 20:37:03,16.892s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 20:36:46,2019-01-18 20:36:53,6.983s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 20:36:46,2019-01-18 20:36:51,4.587s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 20:36:53,2019-01-18 20:36:56,3.574s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 20:36:53,2019-01-18 20:36:54,1.476s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 20:36:56,2019-01-18 20:37:00,3.035s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 20:36:57,2019-01-18 20:36:57,0.914s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 20:37:00,2019-01-18 20:37:03,3.097s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 20:37:00,2019-01-18 20:37:01,0.968s,PASSED
