Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 17:35:30,2019-01-18 17:36:50,1m - 19.584s,FAILED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 17:35:30,2019-01-18 17:35:39,8.922s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:35:31,2019-01-18 17:35:37,6.090s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 17:35:39,2019-01-18 17:36:03,23.368s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:35:39,2019-01-18 17:36:01,21.081s,FAILED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 17:36:03,2019-01-18 17:36:26,23.502s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:36:03,2019-01-18 17:36:24,21.143s,FAILED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 17:36:26,2019-01-18 17:36:50,23.404s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 17:36:26,2019-01-18 17:36:47,21.061s,FAILED
