Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 18:59:24,2019-01-18 19:00:03,38.743s,FAILED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 18:59:25,2019-01-18 18:59:33,7.957s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 18:59:25,2019-01-18 18:59:30,5.185s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 18:59:33,2019-01-18 18:59:37,4.214s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 18:59:33,2019-01-18 18:59:35,2.094s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 18:59:37,2019-01-18 18:59:40,3.098s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 18:59:37,2019-01-18 18:59:38,0.955s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 18:59:40,2019-01-18 19:00:03,23.185s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 18:59:40,2019-01-18 19:00:01,21.040s,FAILED
