Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-18 21:47:36,2019-01-18 21:48:38,1m - 1.797s,FAILED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-18 21:47:36,2019-01-18 21:48:04,27.858s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 21:47:37,2019-01-18 21:48:02,24.706s,FAILED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-18 21:48:04,2019-01-18 21:48:28,23.449s,FAILED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 21:48:05,2019-01-18 21:48:26,21.054s,FAILED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-18 21:48:28,2019-01-18 21:48:34,6.394s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 21:48:28,2019-01-18 21:48:32,4.119s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-18 21:48:34,2019-01-18 21:48:38,3.538s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-18 21:48:34,2019-01-18 21:48:36,1.295s,PASSED
