Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-09 12:15:55,2019-01-09 12:16:15,20.036s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-09 12:15:56,2019-01-09 12:16:04,8.398s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 12:15:56,2019-01-09 12:16:02,5.570s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-09 12:16:04,2019-01-09 12:16:08,4.188s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 12:16:04,2019-01-09 12:16:06,1.904s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-09 12:16:08,2019-01-09 12:16:12,3.748s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 12:16:08,2019-01-09 12:16:10,1.453s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-09 12:16:12,2019-01-09 12:16:15,3.311s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-09 12:16:12,2019-01-09 12:16:13,1.133s,PASSED
