Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-22 12:02:31,2019-01-22 12:02:52,21.387s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-22 12:02:31,2019-01-22 12:02:42,10.153s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:02:33,2019-01-22 12:02:39,6.799s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-22 12:02:42,2019-01-22 12:02:45,3.974s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:02:42,2019-01-22 12:02:43,1.700s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-22 12:02:45,2019-01-22 12:02:49,3.468s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:02:46,2019-01-22 12:02:47,1.186s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-22 12:02:49,2019-01-22 12:02:52,3.264s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 12:02:49,2019-01-22 12:02:50,0.939s,PASSED
