Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-22 01:03:02,2019-01-22 01:03:48,45.479s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-22 01:03:02,2019-01-22 01:03:29,26.374s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 01:03:04,2019-01-22 01:03:27,22.732s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-22 01:03:29,2019-01-22 01:03:39,10.425s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 01:03:29,2019-01-22 01:03:37,7.903s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-22 01:03:39,2019-01-22 01:03:44,4.639s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 01:03:40,2019-01-22 01:03:42,2.291s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-22 01:03:44,2019-01-22 01:03:48,3.577s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 01:03:44,2019-01-22 01:03:46,1.173s,PASSED
